OrderPriority,OrderPriorityPrice,OrderDate,OrderNumber,Discount,UnitPrice,OrderQuantity,ShippingCost,ProductBaseMargin,ProductDepartment,Container,ProductCategory,ProductName,CustomerSegment,CustomerID,CustomerName,Region,State,CountryRegion,City,PostalCode,ShipDate,ShipMode
Medium,7,26-01-10,55937,0.09,40,10,7,0.67,Technology,Small Box,Computer Peripherals,IBM Active Response Keyboard; Black,Small Business,3059,Ellen Ennis Lehman,Europe; the Middle East and Africa,Makkah,Saudi Arabia,Jeddah,22230,28-01-10,Regular Air
Medium,7,26-01-10,55937,0.06,376,24,86,0.74,Furniture,Jumbo Box,Tables,Bretford Rectangular Conference Table Tops,Small Business,3059,Ellen Ennis Lehman,Europe; the Middle East and Africa,Makkah,Saudi Arabia,Jeddah,22230,28-01-10,Delivery Truck
Medium,7,26-01-10,86331,0.08,91,12,56,0.74,Furniture,Medium Box,Office Furnishings,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,Consumer,1946,Teresa Wallace,North America,Pennsylvania,United States of America,Mount Lebanon,15228,28-01-10,Regular Air
Medium,7,26-01-10,86331,0.07,6,3,5,0.4,Office Supplies,Small Box,Paper,Xerox 1947,Consumer,1946,Teresa Wallace,North America,Pennsylvania,United States of America,Mount Lebanon,15228,28-01-10,Regular Air
High,10,26-01-10,89595,0.01,3,1,1,0.38,Office Supplies,Small Box,Labels,Avery 498,Consumer,1361,Kristina Collier,North America,Michigan,United States of America,Allen Park,48101,28-01-10,Regular Air
High,10,26-01-10,89595,0.03,14,8,5,0.49,Furniture,Small Pack,Office Furnishings,Nu-Dell Leatherette Frames,Consumer,1360,Arlene Gibbons,North America,Iowa,United States of America,Muscatine,52761,27-01-10,Regular Air
High,10,26-01-10,86899,0.08,151,8,14,0.38,Technology,Medium Box,Office Machines,Canon MP41DH Printing Calculator,Corporate,3154,Faye Manning,North America,Florida,United States of America,Saint Petersburg,33710,27-01-10,Express Air
High,10,26-01-10,86899,0.03,26,4,14,0.6,Furniture,Jumbo Drum,Chairs and Chairmats,Global Stack Chair without Arms; Black,Corporate,3155,Julian Keith Mayer,North America,Florida,United States of America,Sanford,32771,27-01-10,Delivery Truck
High,10,26-01-10,86899,0.1,32,10,35,0.81,Office Supplies,Large Box,Storage and Organization,Fellowes Neat Ideas® Storage Cubes,Corporate,3155,Julian Keith Mayer,North America,Florida,United States of America,Sanford,32771,27-01-10,Regular Air
Medium,7,27-01-10,10530,0.02,111,4,3,0.57,Technology,Small Box,Telephones and Communication,T18,Consumer,3346,Geraldine Case,Asia Pacific,Beijing,China,Beijing,65001,29-01-10,Regular Air
Medium,7,27-01-10,89356,0.02,111,1,3,0.57,Technology,Small Box,Telephones and Communication,T18,Consumer,3347,Carrie McIntosh,North America,Florida,United States of America,Royal Palm Beach,33411,29-01-10,Regular Air
Not Specified,0,27-01-10,85948,0.08,206,10,3,0.59,Technology,Small Box,Telephones and Communication,V70,Home Office,2281,Monica Harvey,North America,Wisconsin,United States of America,Eau Claire,54703,28-01-10,Regular Air
Critical,15,27-01-10,86544,0.09,3,9,1,0.58,Office Supplies,Wrap Bag,Pens and Art Supplies,Newell 338,Corporate,2979,Lloyd Dolan,North America,North Dakota,United States of America,Dickinson,58601,28-01-10,Regular Air
Critical,15,27-01-10,86544,0.03,44,10,9,0.58,Office Supplies,Small Pack,Pens and Art Supplies,Boston 1645 Deluxe Heavier-Duty Electric Pencil Sharpener,Corporate,2980,Joanna Kenney,North America,Ohio,United States of America,Sandusky,44870,29-01-10,Regular Air
Critical,15,27-01-10,86544,0.06,1,13,1,0.38,Office Supplies,Wrap Bag,Rubber Bands,OIC Thumb-Tacks,Corporate,2980,Joanna Kenney,North America,Ohio,United States of America,Sandusky,44870,30-01-10,Regular Air
Medium,7,28-01-10,17155,0,7,36,2,0.39,Office Supplies,Wrap Bag,Paper,Adams Phone Message Book; 200 Message Capacity; 8 1/16” x 11”,Home Office,553,Kristine Connolly,North America,California,United States of America,Los Angeles,90008,29-01-10,Express Air
High,10,28-01-10,19047,0.06,55,1,14,0.37,Office Supplies,Small Box,Paper,Xerox 194,Corporate,22,Jose Block,Asia Pacific,Tokyo,Japan,Tokyo,1000000,29-01-10,Regular Air
High,10,28-01-10,19047,0.02,2,3,2,0.59,Office Supplies,Wrap Bag,Pens and Art Supplies,Newell 323,Corporate,22,Jose Block,Asia Pacific,Tokyo,Japan,Tokyo,1000000,30-01-10,Regular Air
Low,5,28-01-10,87725,0.02,60,1,4,0.57,Office Supplies,Small Box,Appliances,Belkin 8 Outlet SurgeMaster II Gold Surge Protector,Corporate,744,Joy Maxwell,North America,Arizona,United States of America,Oro Valley,85737,06-02-10,Regular Air
Low,5,28-01-10,87725,0.03,5,9,6,0.36,Office Supplies,Small Box,Binders and Binder Accessories,Wilson Jones Impact Binders,Corporate,744,Joy Maxwell,North America,Arizona,United States of America,Oro Valley,85737,01-02-10,Regular Air
Medium,7,28-01-10,86189,0,7,9,2,0.39,Office Supplies,Wrap Bag,Paper,Adams Phone Message Book; 200 Message Capacity; 8 1/16” x 11”,Home Office,556,Kristina Sanders,North America,Utah,United States of America,Provo,84604,29-01-10,Express Air
Medium,7,28-01-10,86189,0.03,32,8,35,0.81,Office Supplies,Large Box,Storage and Organization,Fellowes Neat Ideas® Storage Cubes,Home Office,556,Kristina Sanders,North America,Utah,United States of America,Provo,84604,28-01-10,Express Air
High,10,28-01-10,87651,0.06,55,1,14,0.37,Office Supplies,Small Box,Paper,Xerox 194,Corporate,24,Edna Thomas,North America,California,United States of America,Laguna Niguel,92677,29-01-10,Regular Air
High,10,28-01-10,87651,0.02,2,1,2,0.59,Office Supplies,Wrap Bag,Pens and Art Supplies,Newell 323,Corporate,24,Edna Thomas,North America,California,United States of America,Laguna Niguel,92677,30-01-10,Regular Air
Medium,7,29-01-10,87146,0.02,421,10,20,0.35,Office Supplies,Small Box,Binders and Binder Accessories,GBC DocuBind 200 Manual Binding Machine,Corporate,2062,Alfred Singh,North America,Virginia,United States of America,Mechanicsville,23111,01-02-10,Regular Air
Medium,7,29-01-10,87146,0.02,241,1,60,0.56,Furniture,Jumbo Box,Bookcases,Atlantic Metals Mobile 2-Shelf Bookcases; Custom Colors,Corporate,2061,Marianne Carey,North America,Nebraska,United States of America,North Platte,69101,31-01-10,Delivery Truck
Critical,15,29-01-10,90899,0.09,96,4,5,0.56,Technology,Small Box,Telephones and Communication,T60,Consumer,1875,Martin Kirk,North America,Virginia,United States of America,Chesapeake,23320,31-01-10,Regular Air
Critical,15,30-01-10,35847,0.08,16,23,9,0.64,Technology,Small Pack,Computer Peripherals,Imation 3.5inch DS/HD IBM Formatted Diskettes; 50/Pack,Corporate,1249,Nancy Snyder,Europe; the Middle East and Africa,Misto Kyyiv,Ukraine,Kiev,42120,30-01-10,Express Air
Critical,15,30-01-10,86279,0.1,32,11,2,0.42,Technology,Small Pack,Computer Peripherals,Memorex 4.7GB DVD-RAM; 3/Pack,Corporate,767,Jeffrey Mueller,North America,Illinois,United States of America,Rock Island,61201,01-02-10,Regular Air
Low,5,30-01-10,91229,0.07,575,8,24,0.06,Technology,Large Box,Office Machines,Polycom ViaVideo  Desktop Video Communications Unit,Consumer,2775,Theodore Rubin,North America,Illinois,United States of America,Franklin Park,60131,04-02-10,Regular Air
Low,5,31-01-10,40101,0.1,50,46,20,0.45,Technology,Small Box,Computer Peripherals,US Robotics 56K V.92 Internal PCI Faxmodem,Corporate,1723,Constance Flowers,North America,California,United States of America,San Diego,92037,05-02-10,Express Air
Not Specified,0,31-01-10,86002,0,7,9,2,0.38,Office Supplies,Wrap Bag,Paper,Adams Phone Message Book; Professional; 400 Message Capacity; 5 3/6” x 11”,Corporate,2137,Crystal Crabtree,North America,Florida,United States of America,West Palm Beach,33407,02-02-10,Regular Air
Critical,15,31-01-10,86267,0.03,8,4,3,0.59,Office Supplies,Small Pack,Scissors; Rulers and Trimmers,Acme® Elite Stainless Steel Scissors,Home Office,256,Irene Li,North America,Pennsylvania,United States of America,Hanover,17331,02-02-10,Regular Air
Low,5,31-01-10,86050,0.09,161,11,30,0.62,Furniture,Jumbo Drum,Chairs and Chairmats,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,Home Office,2202,Laurie Howe,North America,Minnesota,United States of America,Brooklyn Center,55429,31-01-10,Delivery Truck
Low,5,31-01-10,86050,0.09,6,10,1,0.39,Office Supplies,Small Box,Labels,Avery 51,Home Office,2202,Laurie Howe,North America,Minnesota,United States of America,Brooklyn Center,55429,31-01-10,Regular Air
Low,5,31-01-10,86050,0,5,8,1,0.36,Office Supplies,Wrap Bag,Paper,Rediform S.O.S. Phone Message Books,Home Office,2202,Laurie Howe,North America,Minnesota,United States of America,Brooklyn Center,55429,07-02-10,Regular Air
Not Specified,0,31-01-10,90185,0.05,8,2,6,0.36,Office Supplies,Wrap Bag,Paper,Rediform Wirebound inchPhone Memoinch Message Book; 11 x 5-3/4,Corporate,911,Marsha P Joyner,North America,West Virginia,United States of America,Wheeling,26003,02-02-10,Regular Air
Not Specified,0,31-01-10,90185,0.95,219,10,70,0.15,Furniture,Jumbo Box,Tables,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,Corporate,911,Marsha P Joyner,North America,West Virginia,United States of America,Wheeling,26003,01-02-10,Delivery Truck
Critical,15,01-02-10,32676,0.06,45,37,2,0.55,Technology,Small Pack,Computer Peripherals,Verbatim DVD-RAM; 9.4GB; Rewritable; Type 1; DS; DataLife Plus,Corporate,1774,Molly Watson,Europe; the Middle East and Africa,Istanbul,Turkey,Istanbul,34000,04-02-10,Regular Air
Low,5,01-02-10,88598,0.01,3,4,1,0.37,Office Supplies,Small Box,Labels,Avery 497,Corporate,1211,Debra Proctor,North America,Indiana,United States of America,Fort Wayne,46806,06-02-10,Regular Air
Critical,15,01-02-10,89664,0.06,81,10,34,0.37,Technology,Jumbo Drum,Office Machines,Lexmark Z25 Color Inkjet Printer,Consumer,2122,Carolyn Fisher,North America,Arkansas,United States of America,Sherwood,72116,03-02-10,Delivery Truck
Low,5,02-02-10,38529,0.02,1,38,1,0.38,Office Supplies,Wrap Bag,Rubber Bands,OIC Thumb-Tacks,Corporate,894,Gail Rankin Cole,North America,District of Columbia,United States of America,Washington,20024,02-02-10,Regular Air
High,10,02-02-10,55713,0.09,123,49,70,0.74,Furniture,Jumbo Drum,Chairs and Chairmats,Global High-Back Leather Tilter; Burgundy,Corporate,68,Scott Bunn,North America,New York,United States of America,New York City,10177,04-02-10,Delivery Truck
Critical,15,02-02-10,89319,0.95,154,8,69,0.68,Furniture,Large Box,Tables,Laminate Occasional Tables,Corporate,397,Denise Carver,North America,Ohio,United States of America,Cuyahoga Falls,44221,03-02-10,Regular Air
Not Specified,0,02-02-10,87364,0,8,11,8,0.49,Furniture,Small Box,Office Furnishings,6inch Cubicle Wall Clock; Black,Consumer,84,Helen Stein,North America,Ohio,United States of America,Cincinnati,45231,03-02-10,Regular Air
High,10,02-02-10,87947,0.09,123,12,70,0.74,Furniture,Jumbo Drum,Chairs and Chairmats,Global High-Back Leather Tilter; Burgundy,Corporate,70,Annette Boone,North America,Vermont,United States of America,Burlington,5401,04-02-10,Delivery Truck
Not Specified,0,03-02-10,87020,0.02,36,7,5,0.85,Technology,Small Box,Telephones and Communication,Accessory27,Home Office,603,Gretchen Ball,North America,Colorado,United States of America,Pueblo,81001,05-02-10,Regular Air
Medium,7,04-02-10,14627,0.07,14,47,6,0.38,Office Supplies,Small Box,Binders and Binder Accessories,GBC White Gloss Covers; Plain Front,Small Business,3040,Mitchell H Beach,Asia Pacific,Tokyo,Japan,Tokyo,1000000,05-02-10,Regular Air
Low,5,04-02-10,17636,0.03,3,2,1,0.58,Office Supplies,Wrap Bag,Pens and Art Supplies,Newell 343,Home Office,962,Yvonne Clarke,North America,Illinois,United States of America,Chicago,60610,08-02-10,Regular Air
Medium,7,04-02-10,90731,0.05,2,8,6,0.37,Office Supplies,Small Box,Binders and Binder Accessories,Peel and Stick Add-On Corner Pockets,Home Office,1499,Charlotte L Doyle,North America,Florida,United States of America,Coral Gables,33134,05-02-10,Regular Air
Medium,7,04-02-10,90731,0.03,6,9,7,0.37,Office Supplies,Small Box,Paper,Xerox 21,Home Office,1499,Charlotte L Doyle,North America,Florida,United States of America,Coral Gables,33134,05-02-10,Regular Air
Medium,7,04-02-10,90731,0.08,146,11,80,0.71,Furniture,Jumbo Box,Tables,BPI Conference Tables,Home Office,1499,Charlotte L Doyle,North America,Florida,United States of America,Coral Gables,33134,05-02-10,Delivery Truck
Medium,7,04-02-10,86101,0.07,14,12,6,0.38,Office Supplies,Small Box,Binders and Binder Accessories,GBC White Gloss Covers; Plain Front,Small Business,3042,Tara Gold,North America,Kansas,United States of America,Hutchinson,67501,05-02-10,Regular Air
Low,5,04-02-10,89401,0.03,3,1,1,0.58,Office Supplies,Wrap Bag,Pens and Art Supplies,Newell 343,Home Office,960,Phillip Chappell,North America,California,United States of America,Redondo Beach,90278,08-02-10,Regular Air
Medium,7,04-02-10,90145,0,5,12,1,0.36,Office Supplies,Small Box,Labels,Avery 493,Corporate,2286,Larry Langston,North America,South Carolina,United States of America,Spartanburg,29301,06-02-10,Regular Air
Medium,7,04-02-10,90145,0.01,7,6,11,0.37,Office Supplies,Small Box,Paper,Array® Parchment Paper; Assorted Colors,Corporate,2286,Larry Langston,North America,South Carolina,United States of America,Spartanburg,29301,05-02-10,Regular Air
Medium,7,04-02-10,90145,0.1,7,3,7,0.37,Office Supplies,Small Box,Paper,HP Office Paper (20Lb. and 87 Bright),Corporate,2286,Larry Langston,North America,South Carolina,United States of America,Spartanburg,29301,07-02-10,Regular Air
Medium,7,04-02-10,89993,0.05,13,2,1,0.35,Office Supplies,Small Box,Binders and Binder Accessories,Mead 1st Gear 2inch Zipper Binder; Asst. Colors,Consumer,1363,Earl Roy,North America,Florida,United States of America,Casselberry,32707,06-02-10,Regular Air
Medium,7,04-02-10,89993,0.06,6,9,3,0.54,Office Supplies,Wrap Bag,Rubber Bands,Advantus Push Pins; Aluminum Head,Consumer,1363,Earl Roy,North America,Florida,United States of America,Casselberry,32707,06-02-10,Regular Air
Low,5,04-02-10,86051,0.08,145,8,18,0.56,Technology,Jumbo Drum,Office Machines,Panasonic KX-P1150 Dot Matrix Printer,Home Office,2203,Eddie Walker,North America,Minnesota,United States of America,Brooklyn Park,55445,04-02-10,Delivery Truck
Low,5,04-02-10,86051,0.07,34,5,19,0.58,Furniture,Jumbo Drum,Chairs and Chairmats,Metal Folding Chairs; Beige; 4/Carton,Home Office,2204,Oscar Ford,North America,Minnesota,United States of America,Burnsville,55337,08-02-10,Delivery Truck
Low,5,04-02-10,88599,0.07,30,13,2,0.5,Technology,Small Pack,Computer Peripherals,Verbatim DVD-RAM; 5.2GB; Rewritable; Type 1; DS,Corporate,1213,Jeremy Pratt,North America,Indiana,United States of America,Granger,46530,09-02-10,Express Air
Low,5,04-02-10,88599,0.03,8,5,5,0.4,Office Supplies,Small Box,Paper,Southworth 25% Cotton Antique Laid Paper and Envelopes,Corporate,1213,Jeremy Pratt,North America,Indiana,United States of America,Granger,46530,08-02-10,Regular Air
Medium,7,04-02-10,88502,0.07,2,10,2,0.51,Technology,Small Pack,Computer Peripherals,BASF Silver 74 Minute CD-R,Small Business,689,Tommy Honeycutt,North America,Missouri,United States of America,Saint Peters,63376,05-02-10,Regular Air
Medium,7,05-02-10,35200,0.08,10,15,13,0.57,Furniture,Small Box,Office Furnishings,Eldon® Expressions  Wood and Plastic Desk Accessories; Oak,Corporate,2747,Brian Grady,North America,New York,United States of America,New York City,10115,07-02-10,Regular Air
Medium,7,05-02-10,86227,0.07,501,10,28,0.38,Technology,Jumbo Drum,Office Machines,Hewlett-Packard cp1700 [D; PS] Series Color Inkjet Printers,Small Business,2803,Catherine Dorsey Burnett,North America,California,United States of America,East Los Angeles,90022,06-02-10,Delivery Truck
Medium,7,05-02-10,86227,0.1,178,1,20,0.55,Office Supplies,Small Box,Storage and Organization,Hot File® 7-Pocket; Floor Stand,Small Business,2803,Catherine Dorsey Burnett,North America,California,United States of America,East Los Angeles,90022,07-02-10,Regular Air
Low,5,05-02-10,88173,0.07,3,12,1,0.55,Office Supplies,Wrap Bag,Pens and Art Supplies,Sanford Colorific Colored Pencils; 12/Box,Small Business,672,Brian Leach,North America,Iowa,United States of America,Newton,50208,09-02-10,Regular Air
Low,5,05-02-10,88173,0.1,196,2,4,0.58,Technology,Small Box,Telephones and Communication,R380,Small Business,672,Brian Leach,North America,Iowa,United States of America,Newton,50208,12-02-10,Regular Air
Critical,15,05-02-10,88265,0,7,7,2,0.37,Office Supplies,Wrap Bag,Paper,Post-it® “Important Message” Note Pad; Neon Colors; 50 Sheets/Pad,Home Office,2359,Annie Horne,North America,Florida,United States of America,Fort Myers,33917,05-02-10,Regular Air
Critical,15,05-02-10,90236,0.06,280,6,23,0.59,Office Supplies,Jumbo Drum,Appliances,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,Small Business,234,Don Cameron,North America,Iowa,United States of America,Newton,50208,06-02-10,Delivery Truck
High,10,06-02-10,88579,0.02,260,8,67,0.65,Furniture,Jumbo Box,Tables,Bevis Round Bullnose 29inch High Table Top,Home Office,1927,Earl Alston,North America,South Carolina,United States of America,Greenville,29611,06-02-10,Delivery Truck
Critical,15,06-02-10,87700,0.09,1000,1,14,0.06,Technology,Medium Box,Office Machines,Polycom Soundstation EX Audio-Conferencing Telephone; Black,Small Business,421,Scott Feldman,North America,New Jersey,United States of America,Elizabeth,7201,08-02-10,Regular Air
High,10,06-02-10,91414,0.02,71,4,69,0.68,Furniture,Large Box,Tables,Lesro Sheffield Collection Coffee Table; End Table; Center Table; Corner Table,Small Business,2486,Jack Horn,North America,Georgia,United States of America,Statesboro,30458,07-02-10,Regular Air
High,10,06-02-10,91414,0.03,206,1,9,0.6,Technology,Small Box,Telephones and Communication,StarTAC 8000,Small Business,2486,Jack Horn,North America,Georgia,United States of America,Statesboro,30458,08-02-10,Express Air
Low,5,06-02-10,90338,0.03,161,11,30,0.62,Furniture,Jumbo Drum,Chairs and Chairmats,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,Corporate,389,Joel Buckley,North America,Nebraska,United States of America,Lincoln,68502,10-02-10,Delivery Truck
Medium,7,07-02-10,44002,0.05,7,46,6,0.37,Office Supplies,Small Box,Paper,Xerox 1923,Corporate,1723,Constance Flowers,North America,California,United States of America,San Diego,92037,09-02-10,Regular Air
Medium,7,07-02-10,44002,0.03,18,14,9,0.59,Office Supplies,Small Box,Storage and Organization,Portfile® Personal File Boxes,Corporate,1723,Constance Flowers,North America,California,United States of America,San Diego,92037,07-02-10,Regular Air
Medium,7,07-02-10,46981,0.07,31,46,3,0.35,Office Supplies,Small Box,Binders and Binder Accessories,Surelock  Post Binders,Corporate,2811,Katie Herndon,Asia Pacific,Moskva (city),Russian Federation,Moscow,101000,07-02-10,Regular Air
Low,5,07-02-10,86767,0.04,20,8,9,0.37,Office Supplies,Small Box,Paper,Southworth 25% Cotton Premium Laser Paper and Envelopes,Consumer,1121,Tonya Proctor,North America,California,United States of America,Temecula,92592,14-02-10,Regular Air
Low,5,07-02-10,86767,0.08,126,7,8,0.58,Technology,Small Box,Telephones and Communication,Timeport L7089,Consumer,1121,Tonya Proctor,North America,California,United States of America,Temecula,92592,09-02-10,Regular Air
Medium,7,07-02-10,88819,0.07,31,12,3,0.35,Office Supplies,Small Box,Binders and Binder Accessories,Surelock  Post Binders,Corporate,2813,Marjorie Burnette,North America,Tennessee,United States of America,Cleveland,37311,07-02-10,Regular Air
Not Specified,0,08-02-10,3138,0.07,180,4,20,0.48,Technology,Small Box,Computer Peripherals,Motorola SB4200 Cable Modem,Consumer,471,Ross Simpson,North America,Georgia,United States of America,Atlanta,30318,08-02-10,Express Air
Not Specified,0,08-02-10,88023,0.07,180,1,20,0.48,Technology,Small Box,Computer Peripherals,Motorola SB4200 Cable Modem,Consumer,472,Donna Craven,North America,Maryland,United States of America,Randallstown,21133,08-02-10,Express Air
High,10,08-02-10,87530,0.1,106,5,14,0.65,Furniture,Medium Box,Office Furnishings,Tenex 46inch x 60inch Computer Anti-Static Chairmat; Rectangular Shaped,Consumer,3403,Tammy Buckley,North America,Wyoming,United States of America,Cheyenne,82001,11-02-10,Express Air
Critical,15,10-02-10,31078,0.01,14,7,8,0.39,Technology,Medium Box,Office Machines,Sharp EL500L Fraction Calculator,Corporate,1266,Denise Poole,Latin America,Distrito Federal,Mexico,Mexico City,1000,11-02-10,Regular Air
High,10,10-02-10,86812,0.04,11,10,5,0.36,Office Supplies,Small Box,Paper,Xerox 188,Home Office,1526,Larry Hall,North America,Alabama,United States of America,Birmingham,35211,11-02-10,Regular Air
Critical,15,10-02-10,89514,0.01,14,2,8,0.39,Technology,Medium Box,Office Machines,Sharp EL500L Fraction Calculator,Corporate,1267,Rosemary Branch,North America,Florida,United States of America,Boca Raton,33433,11-02-10,Regular Air
Medium,7,10-02-10,88101,0.06,6,6,5,0.38,Office Supplies,Small Box,Binders and Binder Accessories,C-Line Peel and Stick Add-On Filing Pockets; 8-3/4 x 5-1/8; 10/Pack,Corporate,1132,Michael Robbins,North America,Texas,United States of America,Euless,76039,11-02-10,Regular Air
Medium,7,10-02-10,87072,0,20,11,14,0.47,Furniture,Small Box,Office Furnishings,Career Cubicle Clock; 8 1/4inch; Black,Corporate,2145,Kerry Hardy,North America,Florida,United States of America,Fort Lauderdale,33311,12-02-10,Regular Air
Critical,15,11-02-10,45414,0.08,61,17,49,0.59,Office Supplies,Large Box,Appliances,Euro Pro Shark Stick Mini Vacuum,Consumer,1366,Jordan Hahn,Asia Pacific,Soul,Republic of Korea,Seoul,1020,12-02-10,Regular Air
Critical,15,11-02-10,47493,0.07,271,36,50,0.77,Furniture,Jumbo Drum,Chairs and Chairmats,Global Enterprise Series Seating High-Back Swivel/Tilt Chairs,Corporate,2303,Joe Baldwin,North America,New York,United States of America,New York City,10011,13-02-10,Delivery Truck
High,10,11-02-10,87160,0.05,206,12,9,0.58,Technology,Small Box,Telephones and Communication,Talkabout T8097,Consumer,2778,Alison Jones,North America,North Carolina,United States of America,Wilmington,28403,12-02-10,Express Air
High,10,11-02-10,87160,0.08,206,5,9,0.56,Technology,Small Box,Telephones and Communication,TimeportP7382,Consumer,2778,Alison Jones,North America,North Carolina,United States of America,Wilmington,28403,12-02-10,Regular Air
High,10,11-02-10,86883,0.01,2036,2,15,0.55,Technology,Jumbo Drum,Office Machines,Lexmark 4227 Plus Dot Matrix Printer,Consumer,2489,Craig Liu,North America,California,United States of America,Concord,94521,13-02-10,Delivery Truck
Critical,15,11-02-10,87695,0.07,271,9,50,0.77,Furniture,Jumbo Drum,Chairs and Chairmats,Global Enterprise Series Seating High-Back Swivel/Tilt Chairs,Corporate,2302,Beth Dolan,North America,Florida,United States of America,Panama City,32404,13-02-10,Delivery Truck
Medium,7,12-02-10,833,0.03,13,1,7,0.38,Office Supplies,Small Box,Binders and Binder Accessories,GBC ProClick Spines for 32-Hole Punch,Home Office,2552,Catherine Powell,Asia Pacific,Moskva (city),Russian Federation,Moscow,101000,13-02-10,Regular Air
Low,5,12-02-10,14823,0.1,7,15,0,0.38,Office Supplies,Small Box,Labels,Self-Adhesive Address Labels for Typewriters by Universal,Small Business,952,Arlene Bowman,Asia Pacific,Soul,Republic of Korea,Seoul,1020,21-02-10,Regular Air
Low,5,12-02-10,14823,0.08,7,20,2,0.52,Office Supplies,Wrap Bag,Pens and Art Supplies,Turquoise Lead Holder with Pocket Clip,Small Business,952,Arlene Bowman,Asia Pacific,Soul,Republic of Korea,Seoul,1020,12-02-10,Regular Air
Medium,7,12-02-10,57856,0.06,7,17,6,0.39,Office Supplies,Small Box,Binders and Binder Accessories,Wilson Jones Hanging View Binder; White; 1inch,Home Office,3365,Ernest Branch,Europe; the Middle East and Africa,Istanbul,Turkey,Istanbul,34000,13-02-10,Regular Air
High,10,12-02-10,59104,0.08,14,13,7,0.38,Office Supplies,Small Box,Binders and Binder Accessories,GBC Laser Imprintable Binding System Covers; Desert Sand,Small Business,13,Ryan McKenzie,Europe; the Middle East and Africa,Addis Ababa,Ethiopia,Addis Ababa,1165,15-02-10,Express Air
High,10,12-02-10,59104,0.04,3,22,2,0.39,Office Supplies,Wrap Bag,Rubber Bands,Staples Gold Paper Clips,Small Business,13,Ryan McKenzie,Europe; the Middle East and Africa,Addis Ababa,Ethiopia,Addis Ababa,1165,15-02-10,Regular Air
Medium,7,12-02-10,86528,0.03,13,1,7,0.38,Office Supplies,Small Box,Binders and Binder Accessories,GBC ProClick Spines for 32-Hole Punch,Home Office,2553,Virginia McNeill,North America,Wisconsin,United States of America,Kenosha,53142,13-02-10,Regular Air
Not Specified,0,12-02-10,90662,0.04,151,6,14,0.38,Technology,Medium Box,Office Machines,Canon MP41DH Printing Calculator,Home Office,1298,Herbert Beard,North America,Texas,United States of America,Sulphur Springs,75482,15-02-10,Regular Air
Not Specified,0,12-02-10,90662,0.04,176,4,12,0.62,Office Supplies,Small Box,Storage and Organization,Fellowes High-Stak® Drawer Files,Home Office,1298,Herbert Beard,North America,Texas,United States of America,Sulphur Springs,75482,14-02-10,Regular Air
Low,5,12-02-10,90771,0.1,7,4,0,0.38,Office Supplies,Small Box,Labels,Self-Adhesive Address Labels for Typewriters by Universal,Small Business,954,Tony Chandler,North America,Texas,United States of America,Highland Village,75067,21-02-10,Regular Air
Low,5,12-02-10,90771,0.08,7,5,2,0.52,Office Supplies,Wrap Bag,Pens and Art Supplies,Turquoise Lead Holder with Pocket Clip,Small Business,954,Tony Chandler,North America,Texas,United States of America,Highland Village,75067,12-02-10,Regular Air
Medium,7,12-02-10,90985,0.05,6,9,8,0.37,Office Supplies,Small Box,Paper,Xerox 217,Consumer,3324,Leslie Jacobson,North America,Arizona,United States of America,El Mirage,85335,15-02-10,Regular Air
Medium,7,12-02-10,90500,0.06,7,4,6,0.39,Office Supplies,Small Box,Binders and Binder Accessories,Wilson Jones Hanging View Binder; White; 1inch,Home Office,3369,Stacy Byrne,North America,Ohio,United States of America,Westerville,43081,13-02-10,Regular Air
High,10,12-02-10,86836,0.04,3,6,2,0.39,Office Supplies,Wrap Bag,Rubber Bands,Staples Gold Paper Clips,Small Business,16,Sarah Ramsey,North America,New York,United States of America,Syracuse,13210,15-02-10,Regular Air
High,10,12-02-10,86836,0.05,116,10,3,0.55,Technology,Small Box,Telephones and Communication,StarTAC 7797,Small Business,16,Sarah Ramsey,North America,New York,United States of America,Syracuse,13210,14-02-10,Regular Air
Critical,15,13-02-10,21572,0.03,194,42,12,0.59,Furniture,Large Box,Office Furnishings,Electrix Halogen Magnifier Lamp,Home Office,3342,Paul Tate,North America,District of Columbia,United States of America,Washington,20006,15-02-10,Regular Air
Critical,15,13-02-10,54055,0.02,121,44,59,0.75,Furniture,Jumbo Box,Bookcases,O Sullivan Living Dimensions 2-Shelf Bookcases,Home Office,2016,Gail Lin,Europe; the Middle East and Africa,Ile-de-France,France,Paris,75012,15-02-10,Delivery Truck
High,10,13-02-10,86926,0.05,81,11,30,0.4,Technology,Jumbo Box,Office Machines,Hewlett-Packard Deskjet 940 REFURBISHED Color Inkjet Printer,Home Office,2897,Betty Giles,North America,Minnesota,United States of America,Maple Grove,55369,14-02-10,Delivery Truck
High,10,13-02-10,86926,0,6,2,10,0.37,Office Supplies,Small Box,Paper,Xerox 1997,Home Office,2897,Betty Giles,North America,Minnesota,United States of America,Maple Grove,55369,15-02-10,Regular Air
